actor_id,first_name,last_name,last_update
110,SUSAN,DAVIS,2022-02-15 17:34:33+08
111,CAMERON,ZELLWEGER,2022-02-15 17:34:33+08
112,RUSSELL,BACALL,2022-02-15 17:34:33+08
113,MORGAN,HOPKINS,2022-02-15 17:34:33+08
114,MORGAN,MCDORMAND,2022-02-15 17:34:33+08
115,HARRISON,BALE,2022-02-15 17:34:33+08
116,DAN,STREEP,2022-02-15 17:34:33+08
117,RENEE,TRACY,2022-02-15 17:34:33+08
118,CUBA,ALLEN,2022-02-15 17:34:33+08
119,WARREN,JACKMAN,2022-02-15 17:34:33+08
120,PENELOPE,MONROE,2022-02-15 17:34:33+08
121,LIZA,BERGMAN,2022-02-15 17:34:33+08
122,SALMA,NOLTE,2022-02-15 17:34:33+08
123,JULIANNE,DENCH,2022-02-15 17:34:33+08
124,SCARLETT,BENING,2022-02-15 17:34:33+08
125,ALBERT,NOLTE,2022-02-15 17:34:33+08
126,FRANCES,TOMEI,2022-02-15 17:34:33+08
127,KEVIN,GARLAND,2022-02-15 17:34:33+08
128,CATE,MCQUEEN,2022-02-15 17:34:33+08
129,DARYL,CRAWFORD,2022-02-15 17:34:33+08
130,GRETA,KEITEL,2022-02-15 17:34:33+08
131,JANE,JACKMAN,2022-02-15 17:34:33+08
132,ADAM,HOPPER,2022-02-15 17:34:33+08
133,RICHARD,PENN,2022-02-15 17:34:33+08
134,GENE,HOPKINS,2022-02-15 17:34:33+08
135,RITA,REYNOLDS,2022-02-15 17:34:33+08
136,ED,MANSFIELD,2022-02-15 17:34:33+08
137,MORGAN,WILLIAMS,2022-02-15 17:34:33+08
138,LUCILLE,DEE,2022-02-15 17:34:33+08
139,EWAN,GOODING,2022-02-15 17:34:33+08
140,WHOOPI,HURT,2022-02-15 17:34:33+08
141,CATE,HARRIS,2022-02-15 17:34:33+08
142,JADA,RYDER,2022-02-15 17:34:33+08
143,RIVER,DEAN,2022-02-15 17:34:33+08
144,ANGELA,WITHERSPOON,2022-02-15 17:34:33+08
145,KIM,ALLEN,2022-02-15 17:34:33+08
146,ALBERT,JOHANSSON,2022-02-15 17:34:33+08
147,FAY,WINSLET,2022-02-15 17:34:33+08
148,EMILY,DEE,2022-02-15 17:34:33+08
149,RUSSELL,TEMPLE,2022-02-15 17:34:33+08
150,JAYNE,NOLTE,2022-02-15 17:34:33+08
151,GEOFFREY,HESTON,2022-02-15 17:34:33+08
152,BEN,HARRIS,2022-02-15 17:34:33+08
153,MINNIE,KILMER,2022-02-15 17:34:33+08
154,MERYL,GIBSON,2022-02-15 17:34:33+08
155,IAN,TANDY,2022-02-15 17:34:33+08
156,FAY,WOOD,2022-02-15 17:34:33+08
157,GRETA,MALDEN,2022-02-15 17:34:33+08
158,VIVIEN,BASINGER,2022-02-15 17:34:33+08
159,LAURA,BRODY,2022-02-15 17:34:33+08
160,CHRIS,DEPP,2022-02-15 17:34:33+08
161,HARVEY,HOPE,2022-02-15 17:34:33+08
162,OPRAH,KILMER,2022-02-15 17:34:33+08
163,CHRISTOPHER,WEST,2022-02-15 17:34:33+08
164,HUMPHREY,WILLIS,2022-02-15 17:34:33+08
165,AL,GARLAND,2022-02-15 17:34:33+08
166,NICK,DEGENERES,2022-02-15 17:34:33+08
167,LAURENCE,BULLOCK,2022-02-15 17:34:33+08
168,WILL,WILSON,2022-02-15 17:34:33+08
169,KENNETH,HOFFMAN,2022-02-15 17:34:33+08
170,MENA,HOPPER,2022-02-15 17:34:33+08
171,OLYMPIA,PFEIFFER,2022-02-15 17:34:33+08
172,GROUCHO,WILLIAMS,2022-02-15 17:34:33+08
173,ALAN,DREYFUSS,2022-02-15 17:34:33+08
174,MICHAEL,BENING,2022-02-15 17:34:33+08
175,WILLIAM,HACKMAN,2022-02-15 17:34:33+08
176,JON,CHASE,2022-02-15 17:34:33+08
177,GENE,MCKELLEN,2022-02-15 17:34:33+08
178,LISA,MONROE,2022-02-15 17:34:33+08
179,ED,GUINESS,2022-02-15 17:34:33+08
180,JEFF,SILVERSTONE,2022-02-15 17:34:33+08
181,MATTHEW,CARREY,2022-02-15 17:34:33+08
182,DEBBIE,AKROYD,2022-02-15 17:34:33+08
183,RUSSELL,CLOSE,2022-02-15 17:34:33+08
184,HUMPHREY,GARLAND,2022-02-15 17:34:33+08
185,MICHAEL,BOLGER,2022-02-15 17:34:33+08
186,JULIA,ZELLWEGER,2022-02-15 17:34:33+08
187,RENEE,BALL,2022-02-15 17:34:33+08
188,ROCK,DUKAKIS,2022-02-15 17:34:33+08
189,CUBA,BIRCH,2022-02-15 17:34:33+08
190,AUDREY,BAILEY,2022-02-15 17:34:33+08
191,GREGORY,GOODING,2022-02-15 17:34:33+08
192,JOHN,SUVARI,2022-02-15 17:34:33+08
193,BURT,TEMPLE,2022-02-15 17:34:33+08
194,MERYL,ALLEN,2022-02-15 17:34:33+08
195,JAYNE,SILVERSTONE,2022-02-15 17:34:33+08
196,BELA,WALKEN,2022-02-15 17:34:33+08
197,REESE,WEST,2022-02-15 17:34:33+08
198,MARY,KEITEL,2022-02-15 17:34:33+08
199,JULIA,FAWCETT,2022-02-15 17:34:33+08
200,THORA,TEMPLE,2022-02-15 17:34:33+08
